SKU;Descrição;Validade;Estoque
12383770;NESTLE Rech Torta 6x600g NPro BR;01/02/2027;1
12383806;NESTLE Chocbra Mse 8x500g NPro BR;01/11/2026;0
12384866;DOG CHOW Oral Med Gde 20x80g BR;01/04/2027;18
12384867;DOG CHOW Oral Pequeno 20x105g BR;01/06/2027;12
12384868;DOG CHOW Oral Pequeno 20x45g BR;01/07/2027;0
12386036;NDG Minime Antr1 127V BR;12/02/2035;0
12386038;NDG Minime BlkRed1 127V BR;04/02/2035;0
12392354;MAGGI Sopao Gl Menos Sodio 24x150g BR;01/02/2027;0
12392355;MAGGI Sopao Car Menos Sodio 24x150g BR;01/02/2027;0
12394340;NDG Minime ChryRed1 127V BR;07/06/2032;0
12394435;MUCILON BL 5 Cereais Zero 12x180g BR;01/12/2026;9
12400662;MAGGI Crm Ceb Menos Sodio 12(12x61g) BR;01/11/2026;0
12405428;DOG CHOW Adlt Mini Peq Carne 15x100g BR;01/03/2028;0
12405429;DOGCHOW Adlt Mini Peq Salmao 15x100g BR;01/02/2028;0
12405432;DOG CHOW Adlt TdTm Frango 15x100g BR;01/01/2028;0
12405471;DOG CHOW Adlt Mini Peq Frango 15x100g BR;01/12/2027;0
12405472;DOG CHOW Filh TdTm Carne 15x100g BR;01/03/2028;0
12405475;DOG CHOW Adlt TdTm Carne 15x100g BR;01/01/2028;0
12405477;DOG CHOW Adlt TdTm Cordeiro 15x100g BR;01/01/2028;0
12405478;DOG CHOW Filh TdTm Frango 15x100g BR;01/02/2028;0
12406317;NINHO 3+ PBIO3 Fases Lepo 6x800g BR;01/06/2027;18
12406967;NESCAFE GOLD TorrMoidoSuaveSac 12x250gBR;01/01/2027;5
12406968;NESCAFE GOLDTorrMoidoIntensoSac12x250gBR;01/09/2026;2
12406969;NESC GOLD TorrMdoEquilibradoSac12x250gBR;#N/D;11
12408235;NESCAFE MATINAL Fco 12x160g BR;01/05/2027;17
12408255;NESCAFE ORIGINAL Fco 12x160g BR;01/02/2028;0
12408256;NESCAFE TRADICAO Fco 12x160g BR;01/01/2028;0
12408826;MOLICO LepoParcialDesn+Fibras24x260gBR;01/04/2027;0
12410107;MAGGI Caldo Po Carne 96x35g BR;01/02/2027;22
